All_Cases_1to2wk	EQBO_1to2wk	WQBO_1to2wk	EQBO_with_ws<13m/s_1to2wk	WQBO_and_EQBO_with_WS>13m/s_1to2wk	EQBO_with_ws<10m/s_1to2wk	WQBO_and_EQBO_with_WS>10m/s_1to2wk	EQBO_with_ws<7m/s_1to2wk	WQBO_and_EQBO_with_WS>7m/s_1to2wk	ZMZW_at_60N_10hPa<3.8m/s_1to2wk	ZMZW_at_60N_10hPa>3.8m/s_1to2wk	SWIneg_1to2wk	SWIplain_1to2wk	All_Cases_3to4wk	EQBO_3to4wk	WQBO_3to4wk	EQBO_with_ws<13m/s_3to4wk	WQBO_and_EQBO_with_WS>13m/s_3to4wk	EQBO_with_ws<10m/s_3to4wk	WQBO_and_EQBO_with_WS>10m/s_3to4wk	EQBO_with_ws<7m/s_3to4wk	WQBO_and_EQBO_with_WS>7m/s_3to4wk	ZMZW_at_60N_10hPa<3.8m/s_3to4wk	ZMZW_at_60N_10hPa>3.8m/s_3to4wk	SWIneg_3to4wk	SWIplain_3to4wk	All_Cases_5to6wk	EQBO_5to6wk	WQBO_5to6wk	EQBO_with_ws<13m/s_5to6wk	WQBO_and_EQBO_with_WS>13m/s_5to6wk	EQBO_with_ws<10m/s_5to6wk	WQBO_and_EQBO_with_WS>10m/s_5to6wk	EQBO_with_ws<7m/s_5to6wk	WQBO_and_EQBO_with_WS>7m/s_5to6wk	ZMZW_at_60N_10hPa<3.8m/s_5to6wk	ZMZW_at_60N_10hPa>3.8m/s_5to6wk	SWIneg_5to6wk	SWIplain_5to6wk
-2.134	-0.72	-2.134	-0.72	-2.134	-0.72	-2.134	-3.227	-2.134	-3.747	-2.134	-0.72	-2.134	-1.226	-1.66	-1.226	-1.66	-1.226	-1.66	-1.226	-1.3	-1.226	-6.226	-1.226	-1.66	-1.226	-0.958	-2.508	-0.958	-2.508	-0.958	-2.508	-0.958	-2.182	-0.958	-3.569	-0.958	-2.508	-0.958
-1.597	-2.508	-1.597	-2.508	-1.597	-2.508	-1.597	-2.182	-1.597	-3.253	-1.597	-2.508	-1.597	-3.462	-2.979	-3.462	-2.979	-3.462	-2.979	-3.462	-0.243	-3.462	-2.765	-3.462	-2.979	-3.462	-4.318	-3.804	-4.318	-3.804	-4.318	-3.804	-4.318	-0.511	-4.318	-3.507	-4.318	-3.804	-4.318
-0.72	-3.227	-0.495	-3.227	-0.495	-3.227	-0.495	-0.009	-0.72	-3.356	-0.72	-3.227	-0.495	-1.66	-1.3	-1.506	-1.3	-1.506	-1.3	-1.506	-2.529	-1.66	-2.065	-1.66	-1.3	-1.506	-2.508	-2.182	-0.698	-2.182	-0.698	-2.182	-0.698	-1.287	-2.508	-3.377	-2.508	-2.182	-0.698
-2.508	-2.182	-0.698	-2.182	-0.698	-2.182	-0.698	-1.287	-2.508	-0.488	-2.508	-2.182	-0.698	-2.979	-0.243	-0.22	-0.243	-0.22	-0.243	-0.22	-1.703	-2.979	0.916	-2.979	-0.243	-0.22	-3.804	-0.511	0.187	-0.511	0.187	-0.511	0.187	-3.706	-3.804	0.189	-3.804	-0.511	0.187
-3.227	-2.51	1.377	-2.51	1.377	-1.486	1.377	-2.682	-0.495	-1.838	-3.227	-1.486	1.377	-1.3	-2.326	-1.289	-2.326	-1.289	-2.252	-1.289	-2.584	-1.506	-3.202	-1.3	-2.252	-1.289	-2.182	-2.429	-3.41	-2.429	-3.41	-0.009	-3.41	-2.92	-0.698	-2.396	-2.182	-0.009	-3.41
-2.182	-1.486	-3.41	-1.486	-3.41	-0.009	-3.41	-3.253	-0.698	-2.729	-2.182	-0.009	-3.41	-0.243	-2.252	-2.678	-2.252	-2.678	-2.529	-2.678	-2.765	-0.22	-2.029	-0.243	-2.529	-2.678	-0.511	-0.009	-1.865	-0.009	-1.865	-1.287	-1.865	-3.507	0.187	-2.013	-0.511	-1.287	-1.865
-0.495	-0.009	-3.747	-0.009	-0.702	-1.287	-2.51	-1.415	1.377	-3.178	-0.495	-1.287	-2.51	-1.506	-2.529	-6.226	-2.529	-1.642	-1.703	-2.326	-0.892	-1.289	-1.493	-1.506	-1.703	-2.326	-0.698	-1.287	-3.569	-1.287	-3.747	-3.706	-2.429	-2.597	-3.41	-0.694	-0.698	-3.706	-2.429
-0.698	-1.287	-3.727	-1.287	-3.747	-0.384	-2.935	-1.792	-3.41	-5.205	-0.698	-3.747	-2.935	-0.22	-1.703	-2.656	-1.703	-6.226	0.057	-3.363	-4.635	-2.678	-4.73	-0.22	-6.226	-3.363	0.187	-3.706	0.43	-3.706	-3.569	-0.057	-0.702	-4.688	-1.865	-2.17	0.187	-3.569	-0.702
1.377	-2.935	-1.503	-2.935	-3.727	-0.057	-0.702	-3.079	-2.51	-1.26	1.377	-0.384	-0.702	-1.289	-3.363	-4.559	-3.363	-2.656	-2.174	-1.642	-0.887	-2.326	-2.62	-1.289	0.057	-1.642	-3.41	-0.702	-3.81	-0.702	0.43	-2.682	-3.747	-2.12	-2.429	-3.802	-3.41	-0.057	-3.747
-3.41	-0.702	-3.783	-0.384	-1.503	-2.682	-3.747	-1.782	-1.486	NA	-3.41	-0.057	-3.727	-2.678	-1.642	-2.862	0.057	-4.559	-2.584	-6.226	-4.854	-2.252	NA	-2.678	-2.174	-2.656	-1.865	-3.747	-2.18	-0.057	-3.81	-2.92	-3.569	-3.43	-0.009	NA	-1.865	-2.682	0.43
